relative_path,extension,size_bytes,modified_utc,sha256,project,asset_type,lifecycle_hint,duplicate_group,duplicate_of,read_error
01_self_injection_return_model/analysis/collection_scenarios.csv,.csv,97,2026-01-15T00:00:00+00:00,cb9dddc0a77e89b5c1d4d1030384590da37beffcf9e9b409b24b8f10a796c4ab,Self-injectable medicine return model,Structured data,No status hint,DUP-001,,
01_self_injection_return_model/analysis/collection_scenarios_backup.csv,.csv,97,2026-01-15T00:00:00+00:00,cb9dddc0a77e89b5c1d4d1030384590da37beffcf9e9b409b24b8f10a796c4ab,Self-injectable medicine return model,Structured data,Archive/backup hint,DUP-001,01_self_injection_return_model/analysis/collection_scenarios.csv,
01_self_injection_return_model/deliverables/concept_brief_draft.md,.md,104,2026-01-15T00:00:00+00:00,21e17be07098b9561ecae7005b054904e97b2120272472d82edd35b7d2576b74,Self-injectable medicine return model,Document,Working-copy hint,,,
01_self_injection_return_model/deliverables/concept_brief_final.md,.md,120,2026-01-15T00:00:00+00:00,040b67ef963703449a5293a303e7ef4f44a902dc76223e809b4465ef90aad045,Self-injectable medicine return model,Document,Final/release hint,,,
01_self_injection_return_model/research/landscape_notes - Copy.md,.md,252,2026-01-15T00:00:00+00:00,72e8b6379643cea29835e437f0f86606062f3e6525c0103d01d47ab712f93fb5,Self-injectable medicine return model,Document,Working-copy hint,DUP-002,01_self_injection_return_model/research/landscape_notes.md,
01_self_injection_return_model/research/landscape_notes.md,.md,252,2026-01-15T00:00:00+00:00,72e8b6379643cea29835e437f0f86606062f3e6525c0103d01d47ab712f93fb5,Self-injectable medicine return model,Document,No status hint,DUP-002,,
02_medical_waste_vehicle/compliance/handling_checklist.md,.md,210,2026-01-15T00:00:00+00:00,2d00ac4f6d52a369f9abde4a9469bc061681edc459df3ac86c7745afd08a1239,Medical-waste vehicle operations,Document,No status hint,,,
02_medical_waste_vehicle/deliverables/vehicle_model_summary_final.md,.md,115,2026-01-15T00:00:00+00:00,fa9cb561a77bec8983f91cd309c6c775b9693e53ce04c615609119f23261fe46,Medical-waste vehicle operations,Document,Final/release hint,,,
02_medical_waste_vehicle/operations/route_assumptions.csv,.csv,78,2026-01-15T00:00:00+00:00,b5b11e6745739e31e6e305a2bd3778db7e5e4048693f88071320fa72f2af96bc,Medical-waste vehicle operations,Structured data,No status hint,,,
02_medical_waste_vehicle/operations/route_assumptions_v2.csv,.csv,79,2026-01-15T00:00:00+00:00,39b9b16e4db8360dc9fe66dffc3ab7d1c9ccd18862b0f4bbdee2da6b5df01187,Medical-waste vehicle operations,Structured data,No status hint,,,
